"phi","n","blksize","CI","target","cov","LB","UB"
-0.2,100,10,"stdCI","rho",0.9224,0.916941062187968,0.927531444813659
-0.2,100,10,"stuCI","rho",0.9556,0.951332715858943,0.959513056254432
-0.2,100,10,"pctCI","rho",0.9585,0.954359471553957,0.9622839033443
-0.2,100,10,"ctrCI","rho",0.8511,0.843936995465384,0.857991429310779
-0.2,100,10,"bcCI","rho",0.8831,0.876603847334174,0.889299598154755
-0.2,100,10,"bcaCI","rho",0.8773,0.870673117806318,0.883634864972708
-0.2,100,10,"propCI","rho",0.9325,0.927363118797398,0.937301347718488
-0.2,100,5,"stdCI","rho",0.941,0.936158467619992,0.945499182084118
-0.2,100,5,"stuCI","rho",0.9572,0.953002040497392,0.961042411049887
-0.2,100,5,"pctCI","rho",0.9852,0.98258622510958,0.987433296224462
-0.2,100,5,"ctrCI","rho",0.8224,0.814735301807171,0.829815443813177
-0.2,100,5,"bcCI","rho",0.8477,0.840473267175408,0.854657805164474
-0.2,100,5,"bcaCI","rho",0.8423,0.834974544667922,0.84936073062283
-0.2,100,5,"propCI","rho",0.9515,0.947061427487745,0.955587708474881
-0.2,1600,12,"stdCI","rho",0.9517,0.947269582639897,0.955779389839834
-0.2,1600,12,"stuCI","rho",0.9533,0.94893554649763,0.957312115967603
-0.2,1600,12,"pctCI","rho",0.9386,0.933672559176654,0.943187020905572
-0.2,1600,12,"ctrCI","rho",0.8654,0.858519195492502,0.871998081780751
-0.2,1600,12,"bcCI","rho",0.8712,0.864440650431787,0.877672099043398
-0.2,1600,12,"bcaCI","rho",0.87,0.863215170748503,0.876498515853428
-0.2,1600,12,"propCI","rho",0.951,0.946541125458899,0.955108418959675
-0.2,1600,24,"stdCI","rho",0.9448,0.940098937951994,0.949155644621243
-0.2,1600,24,"stuCI","rho",0.9483,0.943733546333433,0.952518197883227
-0.2,1600,24,"pctCI","rho",0.9444,0.939683882517269,0.9487710235822
-0.2,1600,24,"ctrCI","rho",0.9072,0.901304349704803,0.912780174026704
-0.2,1600,24,"bcCI","rho",0.9128,0.907059256755635,0.918220849265558
-0.2,1600,24,"bcaCI","rho",0.911,0.905208748241742,0.916472778839027
-0.2,1600,24,"propCI","rho",0.9449,0.940202712028365,0.949251789637236
-0.2,200,12,"stdCI","rho",0.9272,0.921890559599664,0.932178132966668
-0.2,200,12,"stuCI","rho",0.9453,0.940617849518961,0.949636328410368
-0.2,200,12,"pctCI","rho",0.9563,0.952062865223552,0.960182329732951
-0.2,200,12,"ctrCI","rho",0.8671,0.860254355180581,0.873661595402173
-0.2,200,12,"bcCI","rho",0.8868,0.880389816069301,0.89291073209669
-0.2,200,12,"bcaCI","rho",0.8818,0.875274125633571,0.888030337291109
-0.2,200,12,"propCI","rho",0.9331,0.927983184371631,0.937880802656161
-0.2,200,6,"stdCI","rho",0.9457,0.941033053416097,0.950020800605489
-0.2,200,6,"stuCI","rho",0.9543,0.949977444884848,0.95826939678155
-0.2,200,6,"pctCI","rho",0.9723,0.968844817845397,0.975386828874023
-0.2,200,6,"ctrCI","rho",0.8413,0.833956589877084,0.848379463481989
-0.2,200,6,"bcCI","rho",0.8576,0.850562349353985,0.864361010951249
-0.2,200,6,"bcaCI","rho",0.8508,0.843631322464034,0.857697335961744
-0.2,200,6,"propCI","rho",0.9504,0.945916922893283,0.954533111208841
-0.2,3200,15,"stdCI","rho",0.9513,0.946853292016019,0.955396007371772
-0.2,3200,15,"stuCI","rho",0.9528,0.948414792997644,0.956833279267286
-0.2,3200,15,"pctCI","rho",0.9209,0.915395574223276,0.926078122576664
-0.2,3200,15,"ctrCI","rho",0.8541,0.846994266333664,0.860931821493533
-0.2,3200,15,"bcCI","rho",0.8589,0.851887992715415,0.865634354200079
-0.2,3200,15,"bcaCI","rho",0.859,0.851989973369613,0.865732295585666
-0.2,3200,15,"propCI","rho",0.9494,0.94487696514991,0.953573884006249
-0.2,3200,30,"stdCI","rho",0.9419,0.937091231026524,0.946365693492534
-0.2,3200,30,"stuCI","rho",0.9451,0.94041027251552,0.949444067303186
-0.2,3200,30,"pctCI","rho",0.9386,0.933672559176654,0.943187020905572
-0.2,3200,30,"ctrCI","rho",0.9089,0.903050687362446,0.914432496306563
-0.2,3200,30,"bcCI","rho",0.9098,0.903975458153342,0.915307015717877
-0.2,3200,30,"bcaCI","rho",0.9092,0.903358925719789,0.914724021377597
-0.2,3200,30,"propCI","rho",0.94,0.935122418073303,0.944536036548708
-0.2,400,15,"stdCI","rho",0.9358,0.93077489521264,0.940486931138822
-0.2,400,15,"stuCI","rho",0.9469,0.942279070516263,0.951173810721432
-0.2,400,15,"pctCI","rho",0.9547,0.950394353233111,0.958652159650517
-0.2,400,15,"ctrCI","rho",0.8891,0.882744311462694,0.895154434450683
-0.2,400,15,"bcCI","rho",0.9022,0.896171362817133,0.907917097548038
-0.2,400,15,"bcaCI","rho",0.8974,0.891248089338249,0.903244144177746
-0.2,400,15,"propCI","rho",0.938,0.933051404120247,0.942608657813575
-0.2,400,8,"stdCI","rho",0.9466,0.94196750858109,0.950885616004723
-0.2,400,8,"stuCI","rho",0.9524,0.947998282337788,0.956450117488542
-0.2,400,8,"pctCI","rho",0.963,0.959066606952307,0.96657301141123
-0.2,400,8,"ctrCI","rho",0.8566,0.849542755632333,0.863381384087502
-0.2,400,8,"bcCI","rho",0.8673,0.860458515259486,0.873857279219546
-0.2,400,8,"bcaCI","rho",0.8635,0.85658031993105,0.870138439718501
-0.2,400,8,"propCI","rho",0.9487,0.944149271200351,0.952902147716477
-0.2,800,10,"stdCI","rho",0.9498,0.945292891913079,0.953957631381034
-0.2,800,10,"stuCI","rho",0.9527,0.948310657700524,0.956737496477709
-0.2,800,10,"pctCI","rho",0.952,0.947581852522461,0.956066874623383
-0.2,800,10,"ctrCI","rho",0.866,0.85913156389514,0.872585245173152
